# DipoleMomentWriter[version=1](center=False, density='comp')
#            time            norm                    dmx                    dmy                    dmz
# Start; Time = 0.00000000
          0.00000000       2.68229883e-13    -1.506350599811e-11     1.563194018672e-11    -1.023181539495e-12
          0.82682747      -1.50990331e-13    -1.539352115287e-05    -2.761928845985e-05    -1.392768353981e-07
          1.65365493       1.27897692e-13    -5.327452947768e-05    -9.558602982906e-05    -4.820581693821e-07
          2.48048240       6.57252031e-14    -9.711322428529e-05    -1.742421624726e-04    -8.785640943643e-07
          3.30730987      -1.13686838e-13    -1.353450361989e-04    -2.428383390338e-04    -1.224107904818e-06
          4.13413733      -1.42108547e-14    -1.642273187485e-04    -2.946594192963e-04    -1.485031987158e-06
          4.96096480      -1.65201186e-13    -1.829447051591e-04    -3.282424775080e-04    -1.654071240864e-06
          5.78779227       4.26325641e-14    -1.905356895122e-04    -3.418623468292e-04    -1.722587001041e-06
          6.61461974      -5.32907052e-15    -1.862557051595e-04    -3.341831314287e-04    -1.683831044375e-06
          7.44144720      -8.52651283e-14    -1.697713014437e-04    -3.046065397143e-04    -1.534805221581e-06
          8.26827467      -9.94759830e-14    -1.405842196505e-04    -2.522385858015e-04    -1.271010717119e-06
          9.09510214       2.29150032e-13    -9.790402879162e-05    -1.756610583925e-04    -8.853060080583e-07
          9.92192960       3.55271368e-15    -4.103144959799e-05    -7.361932296135e-05    -3.713379896908e-07
         10.74875707      -2.59348099e-13     3.008935510707e-05     5.398681793167e-05     2.713767344176e-07
         11.57558454      -1.65201186e-13     1.147040118212e-04     2.058038645600e-04     1.035991090248e-06
         12.40241200      -1.33226763e-13     2.120416930325e-04     3.804487769798e-04     1.915553980325e-06
         13.22923947      -8.88178420e-15     3.221909100262e-04     5.780803684843e-04     2.910869852712e-06
         14.05606694      -3.90798505e-14     4.458000080945e-04     7.998618986562e-04     4.027832687825e-06
         14.88289440      -2.09610107e-13     5.832817324745e-04     1.046533925603e-03     5.270181645756e-06
         15.70972187      -1.26121336e-13     7.346349681256e-04     1.318094464239e-03     6.637888816385e-06
